Harborwalk,Hanover St.,Commercial St.,Snow Hill St.,Stillman St.,Causeway St. - West End,Blossom St. - West End,Charles St. - Beacon Hill,Charles River Esplanade,MA State House - Beacon Hill,Tremont St.,Summer St.,Washington St.,Arlington St.,River St.,Newbury St.,Huntington Ave.,West Canton St.,Beacon St.
Harborwalk,0.00000,1.70000,2.76667,4.50000,2.73333,3.15000,4.46667,6.21667,6.90000,3.58333,5.36667,3.33333,8.13333,9.00000,5.60000,9.65000,12.00000,9.91667,7.76667
Hanover St.,2.85000,0.00000,1.78333,2.93333,1.28333,3.01667,4.91667,6.23333,7.90000,8.80000,8.88333,8.00000,11.36667,11.36667,6.60000,12.41667,13.00000,12.83333,7.90000
Commercial St.,4.53333,2.51667,0.00000,4.50000,2.73333,3.15000,4.46667,9.08333,7.20000,3.58333,5.36667,3.43333,8.28333,9.00000,6.56667,11.60000,11.96667,12.90000,7.76667
Snow Hill St.,5.70000,2.58333,5.53333,0.00000,2.45000,3.73333,7.83333,6.06667,9.56667,5.70000,11.28333,8.76667,12.30000,13.16667,9.68333,14.60000,15.50000,13.03333,10.88333
Stillman St.,3.50000,1.86667,3.50000,1.66667,0.00000,1.96667,5.68333,7.50000,7.36667,3.50000,10.23333,6.90000,11.91667,11.15000,7.50000,12.01667,13.40000,11.38333,9.10000
Causeway St. - West End,2.46667,2.63333,2.46667,2.03333,2.23333,0.00000,1.96667,3.93333,3.91667,2.46667,6.26667,5.25000,9.06667,8.65000,3.93333,9.20000,10.35000,9.75000,5.18333
Blossom St. - West End,4.46667,5.03333,4.46667,6.46667,5.21667,2.26667,0.00000,2.31667,2.41667,2.98333,4.70000,7.01667,8.70000,6.66667,2.26667,7.23333,8.36667,8.98333,3.41667
Charles St. - Beacon Hill,5.40000,8.63333,5.60000,6.06667,7.08333,4.11667,2.26667,0.00000,2.51667,5.16667,1.78333,5.93333,5.66667,4.06667,0.00000,5.21667,6.33333,6.83333,1.10000
Charles River Esplanade,7.20000,6.40000,8.06667,8.73333,7.95000,4.78333,2.60000,2.28333,0.00000,5.16667,4.15000,5.93333,8.15000,6.40000,1.66667,5.01667,6.93333,7.93333,2.01667
MA State House - Beacon Hill,2.33333,6.23333,2.33333,4.50000,2.73333,3.15000,3.48333,7.90000,8.90000,0.00000,3.70000,4.35000,7.40000,8.50000,3.25000,8.90000,10.48333,10.80000,5.58333
Tremont St.,5.56667,18.00000,5.56667,10.00000,10.16667,7.28333,6.21667,1.91667,5.61667,2.40000,0.00000,3.93333,2.36667,2.58333,1.91667,6.23333,6.76667,6.20000,2.60000
Summer St.,3.53333,5.53333,3.33333,7.60000,5.75000,6.28333,6.81667,6.91667,8.66667,3.91667,3.50000,0.00000,3.61667,6.21667,6.91667,10.03333,8.93333,5.80000,7.90000
Washington St.,7.31667,12.25000,7.31667,13.08333,12.08333,10.33333,9.38333,4.76667,8.31667,7.40000,3.01667,3.61667,0.00000,2.25000,4.76667,4.68333,4.93333,2.38333,5.90000
Arlington St.,9.00000,11.01667,9.46667,12.83333,11.60000,9.68333,7.80000,4.51667,6.93333,6.28333,2.86667,4.76667,2.31667,0.00000,4.51667,2.85000,2.63333,1.41667,4.51667
River St.,6.06667,7.03333,5.60000,8.10000,7.08333,4.11667,2.26667,0.00000,1.55000,2.93333,1.78333,5.93333,5.66667,4.06667,0.00000,1.51667,5.21667,6.83333,1.30000
Newbury St.,10.00000,11.91667,10.93333,13.41667,11.01667,11.20000,9.23333,7.21667,5.01667,10.46667,6.23333,4.96667,5.88333,2.70000,7.43333,0.00000,2.33333,3.70000,5.96667
Huntington Ave.,11.25000,12.40000,11.25000,14.06667,11.21667,11.40000,9.65000,7.50000,7.71667,10.20000,6.73333,5.16667,6.30000,2.98333,3.03333,2.40000,0.00000,1.90000,6.15000
West Canton St.,12.20000,13.51667,12.36667,15.38333,13.71667,12.93333,11.00000,8.43333,7.86667,10.56667,7.58333,6.96667,6.41667,2.10000,8.43333,4.60000,1.75000,0.00000,7.36667
Beacon St.,7.76667,7.76667,7.05000,8.85000,7.76667,4.86667,3.05000,1.10000,1.85000,4.93333,2.25000,8.33333,5.90000,2.80000,1.93333,3.55000,4.55000,5.38333,0.00000
