Harborwalk,Hanover St.,Commercial St.,Snow Hill St.,Stillman St.,Causeway St. - West End,Blossom St. - West End,Charles St. - Beacon Hill,Charles River Esplanade,MA State House - Beacon Hill,Tremont St.,Summer St.,Washington St.,Arlington St.,River St.,Newbury St.,Huntington Ave.,West Canton St.,Beacon St.
Harborwalk,0.00000,2.20000,0.00000,5.20000,3.20000,3.61667,5.03333,7.01667,8.15000,4.05000,6.25000,3.91667,9.38333,10.91667,7.01667,11.38333,13.80000,12.08333,9.08333
Hanover St.,3.43333,0.00000,3.43333,3.21667,1.33333,3.30000,5.70000,7.06667,7.60000,8.41667,10.68333,7.20000,12.80000,13.33333,7.61667,14.28333,15.00000,15.41667,9.11667
Commercial St.,0.00000,2.20000,0.00000,5.20000,3.20000,3.61667,5.03333,7.01667,8.15000,4.05000,5.95000,3.91667,8.11667,10.91667,7.01667,13.21667,13.80000,12.08333,9.08333
Snow Hill St.,6.25000,2.46667,6.23333,0.00000,2.46667,4.21667,9.18333,11.38333,11.68333,9.46667,13.01667,9.90000,13.78333,15.11667,11.38333,16.93333,17.75000,15.60000,12.90000
Stillman St.,4.06667,1.78333,4.06667,1.83333,0.00000,1.95000,6.51667,8.75000,8.66667,8.91667,11.26667,7.81667,12.13333,13.33333,8.75000,14.90000,15.81667,18.00000,10.71667
Causeway St. - West End,2.85000,3.30000,2.85000,2.25000,2.78333,0.00000,2.36667,4.91667,4.95000,3.71667,7.58333,6.06667,10.33333,10.51667,4.91667,11.85000,12.25000,12.15000,6.65000
Blossom St. - West End,4.91667,6.00000,4.91667,7.38333,6.35000,2.58333,0.00000,2.75000,2.88333,2.88333,5.28333,7.65000,9.36667,7.58333,2.75000,8.35000,9.41667,2.00000,4.10000
Charles St. - Beacon Hill,6.16667,8.55000,6.16667,9.60000,8.58333,5.01667,2.78333,0.00000,1.80000,3.03333,1.86667,5.68333,6.21667,4.60000,0.00000,5.48333,6.95000,7.15000,1.56667
Charles River Esplanade,8.45000,9.73333,8.45000,10.68333,10.05000,5.95000,3.05000,2.05000,0.00000,5.56667,4.58333,10.48333,9.73333,7.51667,2.05000,5.81667,7.91667,22.00000,2.51667
MA State House - Beacon Hill,5.95000,6.60000,2.63333,7.18333,6.21667,3.43333,3.31667,3.33333,8.65000,0.00000,4.00000,4.73333,7.88333,9.08333,3.33333,9.35000,11.08333,11.13333,5.80000
Tremont St.,10.23333,11.00000,6.25000,12.00000,10.58333,7.83333,7.30000,2.05000,6.56667,2.80000,0.00000,3.31667,7.78333,3.03333,2.05000,43.00000,2.35000,6.68333,2.85000
Summer St.,4.01667,6.65000,4.01667,9.31667,7.05000,7.48333,8.15000,8.06667,10.43333,4.06667,4.31667,0.00000,4.03333,7.33333,5.68333,10.48333,4.05000,7.08333,8.83333
Washington St.,8.28333,13.63333,9.38333,15.01667,13.96667,11.66667,10.56667,4.96667,9.73333,6.30000,4.73333,3.86667,0.00000,2.48333,4.96667,6.70000,5.40000,3.13333,6.05000
Arlington St.,10.30000,12.85000,10.30000,15.65000,13.11667,11.43333,9.33333,5.10000,8.58333,7.25000,3.13333,5.41667,2.55000,0.00000,4.60000,3.30000,2.38333,2.26667,5.23333
River St.,6.16667,8.55000,6.16667,9.60000,8.58333,5.01667,2.78333,0.00000,1.96667,3.03333,1.86667,8.06667,6.21667,5.68333,0.00000,5.81667,6.95000,7.16667,1.75000
Newbury St.,10.41667,13.68333,12.68333,16.10000,13.00000,13.33333,10.90000,8.46667,6.16667,11.68333,6.51667,8.66667,8.38333,3.21667,8.46667,0.00000,5.26667,4.30000,6.75000
Huntington Ave.,12.71667,14.05000,12.75000,17.08333,13.46667,13.60000,11.28333,8.50000,8.81667,11.31667,3.15000,3.96667,7.03333,2.48333,8.33333,6.45000,0.00000,3.13333,6.85000
West Canton St.,14.33333,15.86667,14.16667,18.93333,16.31667,5.33333,12.48333,9.66667,9.61667,12.28333,9.03333,2.85000,7.03333,2.26667,9.66667,5.31667,7.30000,0.00000,5.21667
Beacon St.,8.25000,9.66667,8.25000,10.63333,9.66667,6.06667,3.75000,1.36667,2.26667,5.28333,2.50000,9.08333,7.30000,4.21667,1.36667,3.98333,4.98333,8.26667,0.00000
