Harborwalk,Hanover St.,Commercial St.,Snow Hill St.,Stillman St.,Causeway St. - West End,Blossom St. - West End,Charles St. - Beacon Hill,Charles River Esplanade,MA State House - Beacon Hill
Harborwalk,0.00000,1.46667,0.00000,4.33333,2.65000,3.56667,5.58333,7.03333,7.91667,3.60000
Hanover St.,2.93333,0.00000,2.93333,2.95000,1.38333,3.63333,6.18333,8.33333,8.15000,8.88333
Commercial St.,0.00000,1.46667,0.00000,4.33333,2.65000,3.56667,5.58333,7.03333,7.91667,3.60000
Snow Hill St.,5.68333,2.63333,5.68333,0.00000,2.21667,4.11667,9.36667,11.25000,11.31667,9.61667
Stillman St.,4.03333,2.23333,4.03333,1.98333,0.00000,2.61667,7.33333,9.13333,9.06667,8.81667
Causeway St. - West End,2.86667,2.50000,2.86667,2.85000,2.06667,0.00000,2.46667,4.76667,4.68333,3.66667
Blossom St. - West End,4.71667,4.26667,4.71667,12.13333,5.05000,2.26667,0.00000,2.71667,2.58333,3.26667
Charles St. - Beacon Hill,5.55000,5.95000,5.55000,8.50000,6.85000,4.01667,2.30000,0.00000,1.60000,3.11667
Charles River Esplanade,7.30000,6.55000,7.30000,9.56667,7.81667,4.75000,2.73333,1.68333,0.00000,5.75000
MA State House - Beacon Hill,2.70000,6.46667,2.70000,18.55000,11.21667,3.23333,3.45000,3.25000,7.61667,0.00000
