Harborwalk,Hanover St.,Commercial St.,Snow Hill St.,Stillman St.,Causeway St. - West End,Blossom St. - West End,Charles St. - Beacon Hill,Charles River Esplanade,MA State House - Beacon Hill,
Harborwalk,0.00000,1.60000,1.60000,2.45000,1.71667,3.26667,4.48333,5.88333,7.15000,3.46667,
Hanover St.,2.68333,0.00000,1.60000,2.45000,1.26667,2.80000,4.75000,6.16667,6.36667,6.91667,
Commercial St.,2.68333,2.68333,0.00000,4.08333,2.93333,3.26667,4.41667,5.88333,7.15000,0.00000,
Snow Hill St.,2.45000,2.45000,5.00000,0.00000,2.40000,3.41667,7.06667,8.53333,9.16667,5.00000,
Stillman St.,1.26667,1.71667,3.13333,1.41667,0.00000,1.60000,5.58333,11.00000,7.56667,3.13333,
Causeway St. - West End,2.01667,2.18333,2.01667,1.95000,2.55000,0.00000,1.96667,3.73333,4.20000,2.01667,
Blossom St. - West End,3.18333,3.56667,3.18333,5.38333,4.63333,1.51667,0.00000,1.91667,2.33333,2.38333,
Charles St. - Beacon Hill,4.05000,4.86667,4.05000,6.56667,5.91667,2.81667,1.61667,0.00000,1.31667,2.08333,
Charles River Esplanade,5.00000,5.36667,5.00000,7.08333,6.36667,3.13333,1.83333,1.43333,0.00000,4.18333,
MA State House - Beacon Hill,0.0000,5.25000,0.00000,4.08333,2.93333,3.26667,3.03333,3.03333,6.38333,0.00000
