Harborwalk,Hanover St.,Commercial St.,Snow Hill St.,Stillman St.,Causeway St. - West End,Blossom St. - West End,Charles St. - Beacon Hill,Charles River Esplanade,MA State House - Beacon Hill,
Harborwalk,0.00000,2.13333,0.00000,4.58333,2.93333,3.28333,4.26667,5.78333,6.73333,3.41667,
Hanover St.,3.61667,0.00000,2.13333,3.08333,1.51667,3.45000,5.66667,7.36667,7.46667,8.30000,
Commercial St.,0.00000,3.61667,0.00000,4.58333,2.93333,3.28333,4.26667,5.78333,6.73333,3.41667,
Snow Hill St.,6.03333,2.60000,6.03333,0.00000,2.50000,3.93333,7.63333,9.40000,9.63333,8.46667,
Stillman St.,4.36667,1.90000,4.36667,1.65000,0.00000,1.88333,6.15000,7.81667,8.03333,8.26667,
Causeway St. - West End,2.83333,3.61667,2.83333,2.01667,2.70000,0.00000,1.95000,3.83333,4.06667,3.21667,
Blossom St. - West End,4.23333,5.85000,4.23333,6.13333,6.08333,1.95000,0.00000,5.78333,2.26667,2.40000,
Charles St. - Beacon Hill,4.85000,7.41667,4.85000,7.60000,7.33333,3.55000,4.66667,0.00000,1.35000,2.40000,
Charles River Esplanade,6.53333,8.08333,6.53333,8.03333,8.06667,3.73333,1.93333,1.53333,0.00000,4.31667,
MA State House - Beacon Hill,2.11667,5.81667,2.11667,6.16667,5.33333,3.31667,2.96667,3.05000,6.90000,0.00000
