Harborwalk,Hanover St.,Commercial St.,Snow Hill St.,Stillman St.,Causeway St. - West End,Blossom St. - West End,Charles St. - Beacon Hill,Charles River Esplanade,MA State House - Beacon Hill,
Harborwalk,0.00000,2.20000,0.00000,5.20000,3.20000,3.61667,5.03333,7.01667,8.15000,4.05000,
Hanover St.,3.43333,0.00000,3.43333,3.21667,1.33333,3.30000,5.70000,7.06667,7.60000,8.41667,
Commercial St.,0.00000,2.20000,0.00000,5.20000,3.20000,3.61667,5.03333,7.01667,8.15000,4.05000,
Snow Hill St.,6.25000,2.46667,6.23333,0.00000,2.46667,4.21667,9.18333,11.38333,11.68333,9.46667,
Stillman St.,4.06667,1.78333,4.06667,1.83333,0.00000,1.95000,6.51667,8.75000,8.66667,8.91667,
Causeway St. - West End,2.85000,3.30000,2.85000,2.25000,2.78333,0.00000,2.36667,4.91667,4.95000,3.71667,
Blossom St. - West End,4.91667,6.00000,4.91667,7.38333,6.35000,2.58333,0.00000,2.75000,2.88333,2.88333,
Charles St. - Beacon Hill,6.16667,8.55000,6.16667,9.60000,8.58333,5.01667,2.78333,0.00000,1.80000,3.03333,
Charles River Esplanade,8.45000,9.73333,8.45000,10.68333,10.05000,5.95000,3.05000,2.05000,0.00000,5.56667,
MA State House - Beacon Hill,2.63333,6.60000,2.63333,7.18333,6.21667,3.43333,3.31667,3.33333,8.65000,0.00000
